,cnpj,gtin,category
0,8540603000198,6890101502534,massas e molhos
1,71322150004408,7898605250417,cervejas
2,43235985000732,7896000724465,cabelo
3,47508411134004,7896102589122,conservas e enlatados
4,47508411135833,7895000474646,bomboniere
5,9379531000101,5893202502558,massas e molhos
6,47508411135833,7891008188271,bomboniere
7,39346861026802,7891025112983,iogurtes e sobremesas
8,47508411134004,7896262304368,bomboniere
9,41185455001501,7896085393488,leite
10,75315333008002,7896036095089,massas e molhos
11,6057223023112,7898909755533,doces e sobremesas
12,6057223023112,7896102503708,massas e molhos
13,75315333008002,7896038308057,arroz
14,6057223023112,7898027658112,doces e sobremesas
15,63960023575,7896005277195,massas e molhos
16,9379531000101,7891149106332,cervejas
17,39346861026802,7897395020217,cervejas
18,75315333009246,7896036091333,massas e molhos
19,75315333008002,7891132019274,temperos e condimentos
20,47508411110687,7898530841476,bomboniere
21,41185455001501,7898629570607,bomboniere
22,3640467002219,4896165356337,massas e molhos
23,63960006212,4898950710508,cervejas
24,32860231000676,7891000252833,iogurtes e sobremesas
25,76430438007184,7898205924305,iogurtes e sobremesas
26,8540603000198,7898080640239,bebidas lácteas
27,71322150004408,7896022200121,massas e molhos
28,47508411137100,7892840802745,refrigerantes
29,3720882000905,7898928927102,aperitivos e salgadinhos
30,6057223023112,7899706152181,cabelo
31,47508411113945,82184090442,destilados
32,47508411113945,7891152315097,massas e molhos
33,75315333009246,4253383514527,massas e molhos
34,39346861026802,6898149010103,cervejas
35,39346861026802,7891150043381,cabelo
36,47508411152681,7893500090809,doces e sobremesas
37,39346861029909,7898142862753,bomboniere
38,8540603000198,7790070218216,"óleos, azeites e vinagres"
39,47508411113945,7898422745523,limpeza roupas
40,47508411152681,7891048014011,doces e sobremesas
41,3720882000905,7891048050644,doces e sobremesas
42,6057223023112,7891010247386,cabelo
43,76430438007184,7891025113720,iogurtes e sobremesas
44,17676214000185,7896085056840,"bolos, biscoitos e bolachas"
45,63960023575,7500435118514,cabelo
46,63960023575,78936683,cervejas
47,71322150001301,5601055007461,bomboniere
48,71322150003266,7891149108466,cervejas
49,47508411135833,644051376969,bomboniere
50,71322150003266,7896455004518,massas e molhos
51,6057223035552,7896049528604,desodorantes
52,21911839000232,7896011102856,"bolos, biscoitos e bolachas"
53,17676214000185,7896085051975,"bolos, biscoitos e bolachas"
54,47508411134004,4002103248675,cervejas
55,71322150004408,4891560077962,"bolos, biscoitos e bolachas"
56,6057223035552,7891134004261,desodorantes
57,47508411152681,7891048036709,cafés e chás
58,6057223023112,7896102509144,massas e molhos
59,6057223023112,7898027658853,doces e sobremesas
60,63960006212,7898295301130,cervejas
61,47508411113945,7896224800686,cafés e chás
62,75315333009246,7896052601110,refrigerantes
63,39346861026802,7896000726360,cabelo
64,3640467002219,7896036097335,massas e molhos
65,63960006212,7891149040308,cervejas
66,47508411134004,7898954360348,sucos e refrescos
67,71322150004408,1825523098940,"bolos, biscoitos e bolachas"
68,47508411152681,7891048036662,cafés e chás
69,76430438007184,7894900031706,refrigerantes
70,75315333007111,5890022745301,cabelo
71,63960023575,7891991014786,cervejas
72,71322150003266,7891079001561,cervejas
73,39346861026802,7896051121251,iogurtes e sobremesas
74,41185455001501,7896005213018,massas e molhos
75,75315333008002,7891132019076,temperos e condimentos
76,41185455001501,7891098000392,cafés e chás
77,75315333009246,6137702113272,refrigerantes
78,32860231000676,7898626080024,aves congeladas
79,76430438007184,7894900011517,refrigerantes
80,47508411152681,7891048036204,cafés e chás
81,75315333007111,7899706133432,cabelo
82,47508411152681,3083680003629,conservas e enlatados
83,3640467002219,7896763621223,massas e molhos
84,76430438007184,7891999007018,iogurtes e sobremesas
85,5154589000368,7896003941517,massas e molhos
86,75315333008002,7896383730121,destilados
87,32860231000676,7899026459960,cabelo
88,6057223023112,7896275980917,doces e sobremesas
89,9379531000101,7891149103270,cervejas
90,71322150003266,7891150056459,cervejas
91,39346861029909,7898939399288,limpeza roupas
92,47508411135833,7891999011398,iogurtes e sobremesas
93,47508411113945,7891091017267,cafés e chás
94,41185455001501,7500435122764,dental
95,76430438007184,7896317104028,refrigerantes
96,71322150003266,7896045512317,cervejas
97,41185455000378,7893000436725,aves congeladas
98,8540603000198,7898215151913,leite
99,5154589000368,7893000025653,"manteigas, patês e requeijão"
100,3720882000905,7895144603599,bomboniere
101,47508411134004,7894900051513,refrigerantes
102,75315333009831,7896221600692,limpeza casa
103,47508411152681,7898409950889,doces e sobremesas
104,75315333008002,7897721411252,massas e molhos
105,41185455001501,82991302,massas e molhos
106,63960005917,72992302,massas e molhos
107,41185455000378,7891024161814,cabelo
108,71322150001301,7898367983790,cervejas
109,3640467002219,7898377660094,cervejas
110,71322150004408,5897400247624,"bolos, biscoitos e bolachas"
111,47508411152681,7896005808559,cafés e chás
112,75315333009831,4898441170347,limpeza casa
113,71322150001301,7891149108480,cervejas
114,75315333008002,7891152222210,massas e molhos
115,71322150003266,7898962676189,"bolos, biscoitos e bolachas"
116,9535928000730,7898559530016,massas e molhos
117,39346861026802,7891150058965,cabelo
118,63960023575,7891000114032,iogurtes e sobremesas
119,3720882000905,7897575102672,cervejas
120,8540603000198,7891000027936,bebidas lácteas
121,41185455000378,7891024038420,cabelo
122,39346861029909,7622210755575,"bolos, biscoitos e bolachas"
123,17676214000185,78910942,refrigerantes
124,21911839000232,7896024725264,"bolos, biscoitos e bolachas"
125,63960005917,7896071024778,"bolos, biscoitos e bolachas"
126,3720882000905,7896000594051,sucos e refrescos
127,75315333008002,7613033024511,cafés e chás
128,13004510024100,7896045503414,cervejas
129,3720882000905,7896005276860,massas e molhos
130,8540603000198,7896224836128,cafés e chás
131,6057223023112,7896085812811,cabelo
132,6057223023112,7897395010126,cervejas
133,6057223023112,7891150061859,cabelo
134,71322150004408,7891991013000,cervejas
135,41185455000378,7896013563600,cabelo
136,71322150004408,7891203059345,"bolos, biscoitos e bolachas"
137,63960005917,7891910030231,"bolos, biscoitos e bolachas"
138,47508411110687,7896005401323,sucos e refrescos
139,71322150001301,7891000241356,"bolos, biscoitos e bolachas"
140,75315333008002,7891962054100,"bolos, biscoitos e bolachas"
141,8540603000198,7896051128069,bebidas lácteas
142,6057223035552,7896049528413,desodorantes
143,47508411152681,7891167011854,conservas e enlatados
144,3720882000905,7894900556056,sucos e refrescos
145,71322150001301,896474023122,"bolos, biscoitos e bolachas"
146,63960006212,7894900300017,refrigerantes
147,47508411110687,7895000425457,limpeza roupas
148,41185455001501,1891432990132,massas e molhos
149,63960023575,7891025115373,iogurtes e sobremesas
150,63960005917,826405216811,"bolos, biscoitos e bolachas"
151,6057223035552,7898925328032,sucos e refrescos
152,63960023575,7896021314379,massas e molhos
153,75315333009831,7896013400172,limpeza casa
154,5154589000368,7898903667528,doces e sobremesas
155,51010502000800,7898994794615,refrigerantes
156,63960005917,7896292303003,massas e molhos
157,41185455001501,7896034302110,sucos e refrescos
158,47508411134004,7898951721241,cervejas
159,5154589000368,7891025021117,bebidas lácteas
160,71322150003266,7622300741013,"bolos, biscoitos e bolachas"
161,75315333009246,7894900700015,refrigerantes
162,3720882000905,7898962676257,aperitivos e salgadinhos
163,47508411110687,7891150016750,limpeza roupas
164,3640467002219,7896657720377,cervejas
165,6057223023112,7896205788040,massas e molhos
166,75315333008274,17893000012384,"manteigas, patês e requeijão"
167,41185455000378,7896259410133,leite
168,47508411152681,7896237900496,conservas e enlatados
169,71322150003266,1049570510099,"bolos, biscoitos e bolachas"
170,8540603000198,7891025320555,bebidas lácteas
171,47508411113945,7891152300116,"bolos, biscoitos e bolachas"
172,47508411134004,7891991013239,cervejas
173,76430438007184,226400362412,"bolos, biscoitos e bolachas"
174,3720882000905,7622300862442,bomboniere
175,32860231000676,7891150037427,cabelo
176,21911839000232,78910942,refrigerantes
177,39346861029909,7891962051741,"bolos, biscoitos e bolachas"
178,41185455000378,4891560070765,leite
179,71322150004408,7894900700398,refrigerantes
180,47508411135833,7895000453238,iogurtes e sobremesas
181,75315333008002,7896064205702,"bolos, biscoitos e bolachas"
182,63960023575,7506295396413,cabelo
183,63960005917,7891300085599,massas e molhos
184,71322150004408,6892391060107,cervejas
185,41185455000378,7896051142218,iogurtes e sobremesas
186,3720882000905,7891035040542,limpeza roupas
187,39346861029909,7891025320623,iogurtes e sobremesas
188,47508411113945,7896038320196,massas e molhos
189,47508411110687,7897469400044,iogurtes e sobremesas
190,63960023575,7891097000621,iogurtes e sobremesas
191,47508411134004,7805000312220,cafés e chás
192,3720882000905,7896089089820,cafés e chás
193,71322150004408,3558481117405,cervejas
194,3720882000905,7894900910018,refrigerantes
195,71322150003266,7899659900464,massas e molhos
196,32860231000676,4898478810407,bebidas lácteas
197,13004510024100,7891737974008,cabelo
198,32860231000676,7891150061378,cabelo
199,13004510024100,7891737429874,conservas e enlatados
200,75315333008002,7891098000149,cafés e chás
201,71322150004408,8000139923586,massas e molhos
202,47508411137100,7891080400063,"manteigas, patês e requeijão"
203,47508411134004,7898286200800,cafés e chás
204,6057223035552,7891150060838,limpeza roupas
205,75315333008002,7898905153630,massas e molhos
206,32860231000676,7891150050075,cabelo
207,41185455000378,7622300807283,bomboniere
208,47508411137100,7891048048979,doces e sobremesas
209,71322150003266,8076800195033,massas e molhos
210,71322150001301,7896002301282,"bolos, biscoitos e bolachas"
211,9535928000730,228451990149,massas e molhos
212,39346861029909,7896058202830,"bolos, biscoitos e bolachas"
213,41185455001501,7891098040183,cafés e chás
214,47508411110687,7898530841346,bomboniere
215,47508411113945,7795323001461,leite
216,8540603000198,5897400103937,iogurtes e sobremesas
217,9535928000730,7891079012840,massas e molhos
218,75315333008002,7898416524080,temperos e condimentos
219,75315333008002,7891152222456,massas e molhos
220,6057223023112,7896000705983,cabelo
