gtin,description
07896040700276,LAVA ROUPAS COQUETEL ERVAS
00000078909434,BOMBOM FERRERO ROCHER 3X16G
07896221600036,AGUA SANITARIA DRAGAO 2L
07891150038554,REFIL LIMPADOR CIF ULTRA RÁPIDO TIRA LIMO 450ML
07891080402166,MARG PRIMOR 3KG
08480017017840,RACAO DIA BIFINHOS P/CAES CHUR 65G
07896108300226,VINAGRE REGINA 750ML MAÇA
07891000023167,ACHOLOTADO PRONTO NESCAU LIGHT NESTLE 200ML
08410280207037,SUCO CONCENTRADO DE TOMATE RAIOLA 1L
07896481190100,LEITE COCO CORINGA 200ML
07898170960285,CHUPETA MAMY ORTODONTICA BORBOLETA
07898949162469,BLONDINE BLOND ALE
00000078900769,ADOÇANTE LÍQUIDO DOCE MENOR 100ML
07891025112686,LEITE PO APTAMIL PROFUTURA 1 800G
00000078905320,CERVEJA SERRAMALTE
07897751900092,SABONETE FARNESE ERVA DOCE
07898524348516,CREME PARA PENTEAR SALON LINE 300ML SOS COCO UNIT
07891031405017,MOSTARDA AMARELA BISNAGA HEMMER 200G
07891000106099,NESLAC COMPOSTO LÁCTEO
07891150052543,SH TRESEMME BAIXO POO 200ML
07898172660909,WHISKY GRAN PAR 1L BLENDED
07896036091340,MAIONESE LIZA 24/250
07890291075091,PLANTA VIOLETA ESPECIAL FC
04066600303336,PAULANER HEFE-WEISSBIER DUNKEL GARRAFA 500 ML 1 UNIDADE
07891000251638,LEITE EM PO MOLICO ZERO LACTOSE 260G
07896098900048,LAVA ROUPAS YPÊ PREMIUM 1KG
07896317105025,REFRIGERANTE COTUBA - PET
07897395020347,PETRA WEISS GARRAFA 1 UNIDADE
07891150015241,CONDICIONADOR SEDA PÓS ALISAMENTO QUÍMICO
07898366930740,EXT TOMATE PALMEIRON TP
07891008210064,BOMBOM GAROTO SERENATA DE AMOR
07898925773078,CASTANHA DE CAJU 50G
07896018210172,PAO DE MEL INTEGRAL 90G
07898901043034,CAFE TORRADO E MOIDO VALVULA 250G CIA ORGANICA
07891200312467,LOCTITE SUPER BONDER FLEX GEL SUPERCOLA 3 G 1 UNIDADE
07891024136096,ENXAGUATÓRIO ANTISSÉPTICO PLAX 250ML ICE UNIT
07898928518461,CREME P/PENTEAR HELCLA KARITE
07896038311194,MACARRÃO ARROZ INTEGRAL URBANO PARAFUSO
07896024726582,BISCOITO NEWAFER PIRAQUÊ CHOCOLATE
07891167036888,SARDINHA GOMES DA COSTA TOMAT
07896030900860,PRATO TERMICO COPOBRAS 8X25 C/200UNIDADE
07891048046081,PUDIM CANECA DR OETKER CHOCOLATE
07891095154241,ERVA DOCE KITANO
07896237900182,AZEITONA RAIOLA S/CAROCO
07898366930023,VITAMILHO FLOCAO
07891152300116,BISC RICHESTER KROKITOS 80G
07897411601550,HIRUDOID 5MG/G GEL BG X
07891025700258,LEITE FERMENTADO ACTIVIA MAMÃO E CEREAIS
07891167015012,PATE DE ATUM GOMES DA COSTA DEFUMADO
07895616160834,PNEU 80100 - 14 - MATRIX BIZ 100125
08005121000146,MACARRÃO ITA DIVELLA LINGUINE 14
07895265297059,SAND HAVAIANAS COLOR AMAZONIA 41/42
07897701101814,BATATA DOCE PALHA 20 X 70G
07896205772490,MACARRÃO ADRIA GRANO DORO FARFALLE
07896003703061,BISCOITO DOCE MARILAN LEITE
07891022101416,LAVA LOUÇAS CRISTAL LIMPOL GEL BOM BRIL 511G
07896051140405,REQUEIJÃO ITAMBÉ NOLAC LIGHT
07897173001254,WICKBOLD CASA SUÍÇA ZERO NOZES 280
07506195129111,ENXAGUATÓRIO ANTISSÉPTICO ORAL-B 500ML LEVE 500ML PAGUE 300ML MENTA UNIT
05741000152409,CERVEJA FAXE 500ML IPA LT
07896279101141,GEL VITA CAPILI CL BLUE 250GR
07896022203757,MACARRÃO RENATA SPECIALE PAPPARDELLE
07896013105008,VINHO ADEGA DO VALE 750ML CABERNET SUAVE
07898422675059,BEB. CATUABA AÇAÍ FLOR DA SELVA 275ML
07896098900925,SABAO PO YPE PREMIUM 1KG
07898286190651,MOLHO MARATA 340G PIZZA
07896237900045,AZEITONA RAIOLITA
07896045505357,CERV HEINEKEN LT 250ML
07896286615013,BALA ICEKISS DOC CHICLE TT FRUTTI 600G
07898205923827,IOGURTE VERDE CAMPO LAC FREE AMEIXA 500GR
07896079816337,TORRONE COM AMENDOIM MONTEVÉRGINE SUPER 3 -
07891018000099,CAFE BRASILEIRO VACUO SUPER FORTE
07891000243060,CHOC NESTLE CLASSIC 100G MEIO AMARGO
07896775100198,BALA GUIMARAES COCO
07891150042223,SUAVE CONDICIONADOR MEL E AMENDOA 12X325ML
07891150026506,DETERGENTE EM PÓ ALA ROSAS E FLOR DE LIS 1KG
07896058257236,BISC TRIUNFO WAFER 80G PASSION CHOCOLATE
07891991000178,CERVEJA ANTARCTICA ONE WAY GF
07896015519223,CREME DENTAL SENSODYNE BRANQUEADOR EXTRA FRESH 50G
07896964619968,MESA DE ATIVIDADES DIDÁTICA INFANTIL PLAY TIME 1996 - COTIPLÁS
07891149441501,SUKITA LARANJA GARRAFA PET
07891091017021,CAFE SAO BRAS 50GR SOLUVEL
07891035539619,CLICK SPRAY BOM AR LAVANDA
07898040323301,BLOQUEADOR SOLAR ACTSUN CORPORAL FPS30 COM
07898591455025,BALA DE GEL FINI TUBES UVA CITRICO 80G
07891010880859,ANTI-SEPT LISTERINE 500ML CUID.TOTAL ZERO
07896040701105,CERA BRILHO FÁCIL LÍQUIDA INCOLOR 750ML
07896825400841,REQUEIJAO SULMINAS PLAST 200GR
07891035051272,TIRA MANCHAS PO VANISH PINK EMB ECONOMICA 400GR
07896051130086,LEITE EM PÓ ITAMBÉ INTEGRAL
07891022242003,DETERGENTE LIMPOL 5L NEUTRO
07899599602251,ALIM GATOS CAATS BIFINHO SALMAO
07891048051054,MARIA MOLE DR.OETKER COCO
07891104393104,ADOÇANTE LÍQUIDO ADOCYL 100ML CICLAMATO UNIT
07891025103301,ACTIVIA BANDEJA FIBRAS E AVEIA DANONE 400G
07891048014028,CONFEITO DR OETKER CHOCOLATE BOLINHA
07898312300023,BIJU CROCANTE
07891152301052,BISCOITO RICHESTER CREAMM CRACKER 400GR
07891048036846,CHA OETKER 15G CAM/BAUN/MEL C/15 SAQ
07896327512967,FER APTI 24XR
07897946400444,VODKA RUSTOFF MAÇA 970ML
07896394804514,AMAC.TEIU 500ML AM.
07891150038189,KIT DOVE (SH + COND200ML) OLEO NUTRICAO
07898591453793,GOLOSEIMAS FINI MARSHMALLOW TORCAO 250GR AZ
07891000102299,TEMPERO MAGGI ERVAS FINAS 25GR
07896451844828,CHUVEIRO LORENZETTI BELLA DUCHA
07896102592993,MOLHO DE TOMATE COM MANJERICÃO HEINZ
07896022202408,RENATA MESCLADO 250
07897158714650,KIT GOTA DOURADA SHAMPOO + CONDICIONADOR SETE ERVAS
07506174500207,CHOCOLATE.SNICKERS
07891991010832,CERVEJA BUDWEISER
07898994046240,"SUCO MONTE VENETO 1,5L UVA TTO"
07898941911065,SUSTAGEN KIDS
07896071004862,ROSCA DE COCO BANANA E CANELA
07896085812842,CREME HIDRATANTE ORIGEM 1KG MACIEZ UNIT
07896336805210,CATUABA SELVAGEM
07897259400155,CEREJA CALDA ALISPEC PT
07891000077610,NINHO MORANGO E BANANA CAIXINHA
07891048036228,CHA OETKER FL FR LARANJA C/ESP C/15 SAQ
07896213003753,MAC VITARELLA 500G OVOS PENNE
07891150053595,KIT DOVE SH 400 +COND 200ML RITUAL REPARACAO
07891150017375,CONDICIONADOR DOVE ÓLEO NUTRIÇÃO
08076809531177,MAC.BARILLA PENN.RIGAT.INTEG. 500GR
07896101062237,ARROZ COMBRASIL T1 5KG
07896064203630,MINIBOLO STA.EDWIGES 33GR CHOCOLATE
07893218002576,VODKA SMIRNOFF ICE ORIG
07894900031713,FANTA LARANJA GARRAFA PET 1 L
07898961328218,CANILITOS PALITO 65 UPPER DOG C 24
07896026100243,D2-BIDRILAC PROBIOTICO 6 S TRIBUTOS 0.00
07896022205201,BISCOITOS RENATA SABOR MAIZENA
07894650013052,LIMPADOR PERFUMADO LAVANDA 900ML MR MUSCULO
07896002362436,PULLMAN ANA MARIA BAUNILHA E CHOCOLATE 80
07896024779274,ROSQ PIRAQUE CHOC 100G
07891150062382,MACARRAO KNORR 500G SEMOLA PARAFUSO
07891203063410,BOLO INTEGRAL PANCO MAC/CHIA/CANELA 250G
07891999350015,IOGURTE LÍQUIDO VIGOR MORANGO GARRAFA
07896629640511,IOGURTE INTEGRAL COM POLPA DE FRUTA SABOR LIMÃO
07896478800043,REFRIGERANTE MATE COURO TRADICIONAL 1LT
07896003702682,BISCOITO AMANTEIGADO MARILAN COCO
07891024171400,SHAMPOO USO DIÁRIO PALMOLIVE 350ML REPARAÇÃO COMPLETA UNIT
00000040804941,MOLHO KUHNE 250GR CURRY
07891103054976,ALECRIM
07891010101688,PROTETOR DE SEIO ABSORVENTE JOHNSON JOHNSON C/12 UNIT
07896502836062,CONJUNTO DE TIGELAS INOX 3 PEÇAS SUPREMA BRINOX
07896279114646,MURIEL DEITA CABELO ST.HAIR CONDIC 300ML
07891035050602,ALVEJANTE CRYSTAL WHITE VANISH 450G
07898341430111,SUCO DE LARANJA DEL VALLE 1L
07622300830120,NABISCO BISCOITO OREO C/8 36G
07893000012578,TORTA A DE PALMITO RS
07896014140596,TINTURA IMEDIA LOURO ACINZENTADO
07896102587098,MAIONESE HEINZ 415G
07894900014174,COCA COLA RETORNAVEL 15 LITRO
07891010030476,CONDICIONADOR JOHNSON'S BABY CABELOS CLAROS
07894900094022,REFR FANTA GUARANA ZERO 2L
07898406780755,LEITE DE COCO BOM COCO .
07896058257717,BISCOITO TORTUGUITA FORMATO MORANGO 90G ARCOR
07891150012363,CALDO KNORR CARNE 12 CUBOS 114G
07898919412112,COND MONANGE FIOS ENCORPADOS 350ML
07896102583182,MAIONESE HEINZ FP
07896791902097,IOGURTE TREVINHO MORANGO FRUTAS
07898403780451,IOG BETANIA MOR SC 900G
07898905356291,COCO RALADO COPRA
07892840800000,REFRIGERANTE DE COLA PEPSI 2L
07896069572700,MOLHO CHURRASCO PICANTE SIAMAR 250ML
07896607100532,PITU 710ML
07898075642941,OLEO MISTO OLIVA ISABEL VD 500ML
07891141023910,SUCO INTEGRAL TINTO DE UVA CASA DE BENTO 1 LITRO
07891035800245,LIMPADOR DESENGORDURANTE VEJA SPRAY L500P400ML LIMÃO UNIT
07898489511024,CREME FACIAL HIDRATANTE DAVENE 50G INTENSA UNIT
03222472958451,TORTIS CUISSON RAPID.3MIN CO
07891024172537,CONDICIONADOR USO DIÁRIO PALMOLIVE 350ML NEUTRO UNIT
07891150043251,SHAMPOO DOVE RECUPERAÇÃO EXTREMA
07896001215467,DOCE LINEA 210GR LEITE
07896256060836,PIMENTA DO REINO C/COMINHO KODILAR 35GR
07898919411955,SH.MONANGE RECONSTRUTOR 350 ML
07891095007974,PACOQUINHA DE AMENDOIM YOKI 306
07891048044544,PUDIM DIET CHOCOLATE DR. OETKER
07891150042483,CREME DENTAL CLOSE UP PROTEÇÃO BIOATIVA 90G
07891149103119,SKOL PILSEN LATA 1 UNIDADE
07896052601660,CERVEJA GLACIAL GARRAFA
07896306615276,BALA PECCIN PURA LARANJA
07891150042261,SHAMPOO SUAVE JASMIM E ÓLEOS ESSENCIAIS 325ML
07897721410033,ESPAGUETE PETYBON Nº 8
07891024171295,CONDICIONADOR USO DIÁRIO PALMOLIVE 350ML REPARAÇÃO COMPLETA UNIT
07896098901717,LAVA ROUPAS EM PÓ TIXAN PRIMAVERA 1KG
07891032019107,GELEIA DE MORANGO RS.
07891025102502,IOGURTE LÍQUIDO DANONE VITAMINA DE FRUTAS
08005110180002,CATCHUP MUTTI 340G CLASSICO
07898646130082,SUCO DOBEM TODO DIA 200ML UVA
08008698021439,TORRADAS 83G CX C/12 UM.
07896051125372,IOGURTE ITAMBE FIT LIGHT FR VERMELHO 480GR
07898149730543,FLOCAO BAIANO 400G
07891962051758,COOKIES VISCONTI INTEGRAL AVEIA/PASSAS 60G
07891965142750,BATATA PALHA HIKARI TRADICIONAL
07891132019274,TEMPERO SAZÓN VERDE
07891032015765,EXTRATO OLE TOM.140GR SCH
07896000715326,KIT SH + CO NIELY GOLD 300ML FOR MEN UNIT
07896791970935,TAEQ MORANGO G
07891965612970,CHA ERVA DOCE
07898904189104,DOCE RALSTON 700GR ABOBORA CREMOSA VD
07898557010268,SALG MILHO POPPS ROOTS TO GO 35G MANTEIGA
07898915949216,CERVEJA IMPERIO PURO MALTE PILSEN 269ML
07896629641099,BAND CANTO 540G
07891150046559,KIT SAB. DOVE 90G C/8 LV/MAIS PG/MENOS BRANCO
07896058256413,BISCOITO AYMORÉ SALPET 100G
07898230710300,CERVEJA NACIONAL BADEN BADEN BOCK GARRAFA
07897395030216,REFRIGERANTE IT LAR 2LT
07898115900161,BOLO SUAVIPAN LIGHT FUBA S/ADICAO ACUCAR
07896048284440,CHAMPIGNON CASTELO SACHET
07891999471208,IOGURTE MIX VIGOR MORANGO C/SUCRILHOS
07898027658112,PO GELAT CAMP TRADICIONAL UVA
07896452100688,SUCO DE UVA PERINI 1LT
07898951721197,CERVEJA INVICTAS 6 O CLOCK
07898031171911,DET PO INVICTO MACIEZ 24X
07891132009688,SOPA VONO CHEF CREME DE QUEIJO
07898901043010,CAFE GRAOS ESPRESSO 250G CIA ORGANICA
07896235800149,GOIABADA XAVANTE TAB
07891095154081,ESPEC.KITANO CRAVO DA INDIA
07891150018754,CONDICIONADOR TRESEMMÉ HIDRATAÇÃO PROFUNDA
07896791902646,IOG GREGO APRECIARE 100G LIMAO
07891000243558,CHOC NESTLE CLASSIC 100G DUO
07896051123989,IOGURTE VITAMBE MORANGO
07896183202200,CREME QUATA RICOTA
07893500065227,MIST BOLO SUPRA SOY LARANJA S/GLUTEN
08076809545457,MACARRÃO.BARILA S/GLUTEN PENNE RIGATE
07898168000443,MELLERIL 200MG FR 20 COMP RETRATO
17891024171230,SHAMPOO PALMOLIVE ANTICASPA CLASSICO 350
07896196083872,PEPININHO LA PASTINA AZEITE
07892840253646,BATATA RUFFLES ORIGINAL 167G
07898292888245,HERSHEYS SPECIAL CASTANHA DO PARA
07896259200987,BISC ALCOBACA 400G MARIA
07896256080025,ESPEC.KODILAR CRAVO
07896791902264,IOG TREVINHO INTEGRAL 170G
00000078906709,CERVEJA ITAIPAVA GF PILSEN
07897972000571,BOLO KIM COCO
07898919902897,SUCO DO BEM CAJU 1L
07891098000170,CHÁ DE HORTELÃ LEÃO
07891048045008,CHANTI-NEVE DR. OETKER 50G
07896791970911,IOGURTE TREVINHO FRUTAS
07896071001991,BISCOITO.MABEL MARIA
07891010033521,PROTETOR SOLAR SUNDOWN
07891991013239,CERV.BOHEMIA 838 PALE ALE ONE WAY 300ML
07898080640239,BEBIDA LÁCTEA UHT SABOR CHOCOLATE 200ML ITALAC
07891150063556,LAVA ROUPAS PO BRILHANTE 850G BRILHO ATIVO
07896016601972,COCONUT WATER
07896011103761,WAFFER PARATI MINUETO CHOCOLATE C/ BAUNILHA
07891025112945,LEITE FERM ACTIVIA 1000G 0% AMEIXA
07891737161484,PIPOCA LIGHT SENTIR BEM
07896102504361,"MOLHO DE TOMATE QUERO TRADICIONAL 1,"
07893500065234,MIST BOLO SUPRA SOY LIMAO S/GLUTEN
07894650004241,GLADE SANY BOUQUET LAVANDA PREC SUG
07891048052358,GELATIFRUTI DR OETKER UVA 25G
07898215152224,LEITE EM PÓ INTEGRAL 800G - POUCH
07898295301970,CERV ALMADA PURO MALTE LATA 269ML
07896205774197,MACARRÃO INST ADRIA LAMEN PICANHA
07898468503620,TINTURA PERMANENTE ALTA MODA 10.1 LOURO EXTRA CLARO CINZA UNIT
07898303140058,AGUA MINERAL S/GÁS GOYÁ - PET
