cnpj_store,gtin,category,cnpj_manufacturer,city,state,name,description
43235985000732,7896000724465,CABELO,30153506000100,NOVA IGUACU,RJ,NIELY DO BRASIL INDUSTRIAL LTDA,CREME TRATAMENTO NIELY GOLD 430G MATIZADOR UNIT
32860231000676,7896000724465,CABELO,30153506000100,NOVA IGUACU,RJ,NIELY DO BRASIL INDUSTRIAL LTDA,CREME TRATAMENTO NIELY GOLD 430G MATIZADOR UNIT
47508411135833,7891008188271,BOMBONIERE,28053619000183,VILA VELHA,ES,CHOCOLATES GAROTO LTDA.,CHOCOLATE.GAROTO 64GR BATON AO LEITE
47508411135833,7891008188271,BOMBONIERE,28053619000183,VILA VELHA,ES,CHOCOLATES GAROTO SA,CHOCOLATE.GAROTO 64GR BATON AO LEITE
47508411110687,7891008188271,BOMBONIERE,28053619000183,VILA VELHA,ES,CHOCOLATES GAROTO LTDA.,CHOCOLATE.GAROTO 64GR BATON AO LEITE
47508411110687,7891008188271,BOMBONIERE,28053619000183,VILA VELHA,ES,CHOCOLATES GAROTO SA,CHOCOLATE.GAROTO 64GR BATON AO LEITE
71322150001301,7891008188271,BOMBONIERE,28053619000183,VILA VELHA,ES,CHOCOLATES GAROTO LTDA.,CHOCOLATE.GAROTO 64GR BATON AO LEITE
71322150001301,7891008188271,BOMBONIERE,28053619000183,VILA VELHA,ES,CHOCOLATES GAROTO SA,CHOCOLATE.GAROTO 64GR BATON AO LEITE
41185455001501,7891008188271,BOMBONIERE,28053619000183,VILA VELHA,ES,CHOCOLATES GAROTO LTDA.,CHOCOLATE.GAROTO 64GR BATON AO LEITE
41185455001501,7891008188271,BOMBONIERE,28053619000183,VILA VELHA,ES,CHOCOLATES GAROTO SA,CHOCOLATE.GAROTO 64GR BATON AO LEITE
39346861029909,7891008188271,BOMBONIERE,28053619000183,VILA VELHA,ES,CHOCOLATES GAROTO LTDA.,CHOCOLATE.GAROTO 64GR BATON AO LEITE
39346861029909,7891008188271,BOMBONIERE,28053619000183,VILA VELHA,ES,CHOCOLATES GAROTO SA,CHOCOLATE.GAROTO 64GR BATON AO LEITE
39346861026802,7891025112983,IOGURTES E SOBREMESAS,23643315000152,SAO PAULO,SP,DANONE LTDA,PETIT DANONINHO 70G MOR/BAN
63960023575,7891025112983,IOGURTES E SOBREMESAS,23643315000152,SAO PAULO,SP,DANONE LTDA,PETIT DANONINHO 70G MOR/BAN
75315333009831,7891025112983,BEBIDAS LÁCTEAS,23643315000152,SAO PAULO,SP,DANONE LTDA,PETIT DANONINHO 70G MOR/BAN
39346861029909,7891025112983,IOGURTES E SOBREMESAS,23643315000152,SAO PAULO,SP,DANONE LTDA,PETIT DANONINHO 70G MOR/BAN
47508411135833,7891025112983,IOGURTES E SOBREMESAS,23643315000152,SAO PAULO,SP,DANONE LTDA,PETIT DANONINHO 70G MOR/BAN
47508411110687,7891025112983,IOGURTES E SOBREMESAS,23643315000152,SAO PAULO,SP,DANONE LTDA,PETIT DANONINHO 70G MOR/BAN
75315333008002,7891025112983,IOGURTES E SOBREMESAS,23643315000152,SAO PAULO,SP,DANONE LTDA,PETIT DANONINHO 70G MOR/BAN
47508411134004,7896262304368,BOMBONIERE,2097007000107,VINHEDO,SP,PERFETTI VAN MELLE BRASIL LTDA.,GOMA MENTOS STICK FRUIT C/3UNIDADE
47508411135833,7896262304368,BOMBONIERE,2097007000107,VINHEDO,SP,PERFETTI VAN MELLE BRASIL LTDA.,GOMA MENTOS STICK FRUIT C/3UNIDADE
71322150001301,7896262304368,BOMBONIERE,2097007000107,VINHEDO,SP,PERFETTI VAN MELLE BRASIL LTDA.,GOMA MENTOS STICK FRUIT C/3UNIDADE
3720882000905,7896262304368,BOMBONIERE,2097007000107,VINHEDO,SP,PERFETTI VAN MELLE BRASIL LTDA.,GOMA MENTOS STICK FRUIT C/3UNIDADE
47508411110687,7896262304368,BOMBONIERE,2097007000107,VINHEDO,SP,PERFETTI VAN MELLE BRASIL LTDA.,GOMA MENTOS STICK FRUIT C/3UNIDADE
39346861029909,7896262304368,BOMBONIERE,2097007000107,VINHEDO,SP,PERFETTI VAN MELLE BRASIL LTDA.,GOMA MENTOS STICK FRUIT C/3UNIDADE
75315333008002,7896036095089,MASSAS E MOLHOS,60498706000157,SAO PAULO,SP,CARGILL AGRICOLA S A,MOLHO PRONTO TARANTELA PENEIRADO ARISCO
13004510024100,7896036095089,MASSAS E MOLHOS,60498706000157,SAO PAULO,SP,CARGILL AGRICOLA S A,MOLHO PRONTO TARANTELA PENEIRADO ARISCO
3720882000905,7896036095089,MASSAS E MOLHOS,60498706000157,SAO PAULO,SP,CARGILL AGRICOLA S A,MOLHO PRONTO TARANTELA PENEIRADO ARISCO
41185455001501,7896036095089,MASSAS E MOLHOS,60498706000157,SAO PAULO,SP,CARGILL AGRICOLA S A,MOLHO PRONTO TARANTELA PENEIRADO ARISCO
63960005917,7896036095089,MASSAS E MOLHOS,60498706000157,SAO PAULO,SP,CARGILL AGRICOLA S A,MOLHO PRONTO TARANTELA PENEIRADO ARISCO
75315333009246,7896036095089,MASSAS E MOLHOS,60498706000157,SAO PAULO,SP,CARGILL AGRICOLA S A,MOLHO PRONTO TARANTELA PENEIRADO ARISCO
9535928000730,7896036095089,MASSAS E MOLHOS,60498706000157,SAO PAULO,SP,CARGILL AGRICOLA S A,MOLHO PRONTO TARANTELA PENEIRADO ARISCO
