cnpj,gtin,city,state
60409075000152,07891000258491,SAO PAULO,SP
54360656001701,07898142863118,CAMPINAS,SP
14998371000119,07896005213018,FORTALEZA,CE
60409075000152,07891000107508,SAO PAULO,SP
04429377000111,07898292888436,SAO PAULO,SP
16849231000104,07896051115014,BELO HORIZONTE,MG
53400784000101,07896281700745,SAO CARLOS,SP
89967939000133,07896037916338,FLORES DA CUNHA,RS
33033028000184,07895800412794,CURITIBA,PR
46344354000669,07891132001019,SAO PAULO,SP
46025722000100,07896022201746,SUMARE,SP
62461140000114,07891203063359,SAO PAULO,SP
47081427000125,07896238105111,CATANDUVA,SP
23643315000152,07891025109570,SAO PAULO,SP
46621017000167,07896039010249,OSASCO,SP
16849231000104,07896051123873,BELO HORIZONTE,MG
02176615000107,07898132980641,ALVINOPOLIS,MG
46025722000100,07896022200664,SUMARE,SP
70940994000101,07891962050713,GUARULHOS,SP
84046101000193,07891080400780,SAO PAULO,SP
60409075000152,07891000258453,SAO PAULO,SP
08505736000123,07897664171459,SAO PAULO,SP
62461140000114,07891203063427,SAO PAULO,SP
18882209000191,07896825400025,SAO PAULO,SP
45997418000153,07894900013566,RIO DE JANEIRO,RJ
07526557000100,07891991000819,SAO PAULO,SP
33306929000798,07899026437326,SAO PAULO,SP
61068276000104,07891150050242,VALINHOS,SP
06042467000180,07896058254372,CAMPINAS,SP
07206816000115,07896085072857,FORTALEZA,CE
50221019000136,07896052605316,ITU,SP
61068276000104,07891150008267,VALINHOS,SP
33122466000119,07894650013908,RIO DE JANEIRO,RJ
08875424000101,07899389700860,FORQUILHINHA,SC
84869593000117,07896272005712,SAO JOSE DOS PINHAIS,PR
61075099000185,07896237901080,SAO PAULO,SP
23643315000152,07891025112976,SAO PAULO,SP
07206816000115,07896213001728,FORTALEZA,CE
38930624000342,07898416780059,CAMPINAS,SP
58128190000107,07891018004745,ARACAIGUAMA,SP
62162243000426,07896025801455,ITAQUAQUECETUBA,SP
31565104000177,07892840802707,SAO PAULO,SP
54360656001701,07898142861848,CAMPINAS,SP
18882209000191,07896825400193,SAO PAULO,SP
60934551000588,07898409957574,SAO PAULO,SP
02780640000510,07896196059426,SAO PAULO,SP
07206816000115,07891152121032,FORTALEZA,CE
47508411110504,07895000342358,SAO PAULO,SP
62461140000114,07891203057518,SAO PAULO,SP
46842894000591,07898295300850,CANDIDO MOTA,SP
04205454000150,07898341430081,SAO PAULO,SP
12970570000193,07898029651166,ARAPIRACA,AL
29737368001271,07896423483178,GUARAREMA,SP
07496057000172,07898022210407,ARAPIRACA,AL
07206816000115,07896205754434,FORTALEZA,CE
01773518000120,07898524348639,JANDIRA,SP
04429377000111,07898292887347,SAO PAULO,SP
47508411110504,07895000343812,SAO PAULO,SP
61586558000195,07891095002160,SAO PAULO,SP
19900000000176,07896045505371,JACAREI,SP
06042467000180,07896058255331,CAMPINAS,SP
01551272000142,07898031172581,RECIFE,PE
62546387000133,07896292330382,MATAO,SP
07206816000115,07891152302714,FORTALEZA,CE
00382468002131,07891024029800,SAO BERNARDO DO CAMPO,SP
05127369000183,07898380410938,UBERABA,MG
47508411110504,07895000446797,SAO PAULO,SP
23191831000193,07896012800874,GOIANIA,GO
59403220000290,07897721410071,FORTALEZA,CE
62546387000133,07896292313781,MATAO,SP
72747256000178,07896908300099,SAO PAULO,SP
09478256000183,07898278530038,FORTALEZA,CE
59557124000115,07891035040542,SAO PAULO,SP
06042467000180,07896058257281,CAMPINAS,SP
55890396000181,07894670121065,PORTO FERREIRA,SP
88624499000159,07897200100271,SAO MARCOS,RS
54360656001701,07898142854529,CAMPINAS,SP
15579674000160,07898591452697,JUNDIAI,SP
61068276000104,07891150042230,VALINHOS,SP
60409075000152,07891000101506,SAO PAULO,SP
61068276000104,07891150043398,VALINHOS,SP
51723435000103,07896496981137,OSASCO,SP
51723435000103,07896496980888,OSASCO,SP
02932074000191,07896094906020,SAO PAULO,SP
86046448000161,07891055539217,SAO BENTO DO SUL,SC
54516661003704,07891010014803,SAO JOSE DOS CAMPOS,SP
61193496000151,07891048043042,SAO PAULO,SP
23643315000152,07891025201786,SAO PAULO,SP
45997418000153,07894900610024,RIO DE JANEIRO,RJ
00382468002131,07891024172537,SAO BERNARDO DO CAMPO,SP
59104737000105,07891125064076,SAO BERNARDO DO CAMPO,SP
00382468002131,07891024028834,SAO BERNARDO DO CAMPO,SP
60409075000152,07891000106099,SAO PAULO,SP
23643315000152,07891025115335,SAO PAULO,SP
00382468002131,07891024027523,SAO BERNARDO DO CAMPO,SP
61068276000104,07891150051843,VALINHOS,SP
60409075000152,07891000120002,SAO PAULO,SP
50221019000136,07896052601523,ITU,SP
33306929000798,07899026461918,SAO PAULO,SP
89967939000133,07896037913719,FLORES DA CUNHA,RS
17467515000107,07896005805046,SANTA LUZIA,MG
05804728000190,07898904189302,TERRA ROXA,SP
60498706000157,07896036097458,SAO PAULO,SP
28053619000183,00000078912359,VILA VELHA,ES
17159518000175,07896417204703,CONTAGEM,MG
35402759000185,07896002360326,SAO PAULO,SP
33109356000460,07896512911865,RIO DE JANEIRO,RJ
61068276000104,07891150060357,VALINHOS,SP
01856022000110,07897042013777,UBERABA,MG
43643857000132,07896079830135,SAO PAULO,SP
50955707000472,07896102503852,BARUERI,SP
52034139000150,07896003701463,MARILIA,SP
62000278000116,07891021007450,SAO PAULO,SP
07687049000103,07896775400052,JAGUARIBE,CE
60409075000152,07891000104927,SAO PAULO,SP
16849231000104,07896051145226,BELO HORIZONTE,MG
05108918000172,07898917945209,SAO PAULO,SP
61586558000195,07891095604753,SAO PAULO,SP
61068276000104,07891150062337,VALINHOS,SP
17467515000107,07896081805367,SANTA LUZIA,MG
04281067000100,07898088693015,NOSSA SENHORA DO SOCORRO,SE
22229207000175,07896021314973,MACHADO,MG
45997418000153,07894900700398,RIO DE JANEIRO,RJ
47508411110504,07895000330065,SAO PAULO,SP
53512810000193,07896256065862,SAO JOSE DO RIO PRETO,SP
62204243000107,07897953700421,SAO JOSE DO RIO PRETO,SP
46025722000100,07896022207076,SUMARE,SP
50955707000472,07896102502305,BARUERI,SP
03861512000130,07898286200145,ITAPORANGA D AJUDA,SE
60409075000152,07891000115985,SAO PAULO,SP
61068276000104,07891150059009,VALINHOS,SP
61365557000110,07896331100327,SAO SEBASTIAO DO PARAISO,MG
