cnpj,gtin,city,state,name,description
14998371000119,7896005213018,FORTALEZA,CE,J MACEDO S/A,MAC BRANDINI ESPAG 500G
60409075000152,7891000107508,SAO PAULO,SP,NESTLE BRASIL LTDA.,SOBREMESA CHANDELLE CHANTILLY CARAMELO 200G NESTLE
60409075000152,7891000107508,SAO PAULO,SP,NESTLE BRASIL LTDA.,SOBREMESA CHANDELLE CHANTILLY CARAMELO 200G NESTLE
16849231000104,7896051115014,BELO HORIZONTE,MG,ITAMBE ALIMENTOS S/A,LEITE CONDENSADO ITAMBÉ
53400784000101,7896281700745,SAO CARLOS,SP,LATICINIOS SALUTE EIRELI,COALHADA SALUTE 900GR INTEGRAL
89967939000133,7896037916338,FLORES DA CUNHA,RS,FANTE INDUSTRIA DE BEBIDAS LTDA,AGUARDENTE BLACK STONE 12/
33033028000184,7895800412794,CURITIBA,PR,MONDELEZ BRASIL LTDA,TRIDENT INTENSE 2 UNIDADES FRESH CARTELA
46344354000669,7891132001019,SAO PAULO,SP,AJINOMOTO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA.,FIT MARACUJÁ DIET 8 G
46025722000100,7896022201746,SUMARE,SP,PASTIFICIO SELMI SA,MACARRÃO.INTEGRALE GRANO DURO
62461140000114,7891203063359,SAO PAULO,SP,LUA NOVA IND E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,BOLO FORMIGUEIRO PANCO 300G
47081427000125,7896238105111,CATANDUVA,SP,LATICINIOS MATINAL LTDA,BEBIDA LACTEA MATILAT MORANGO SACO1L
47081427000125,7896238105111,CATANDUVA,SP,LATICINIOS MATINAL LTDA,BEBIDA LACTEA MATILAT MORANGO SACO1L
23643315000152,7891025109570,SAO PAULO,SP,DANONE LTDA,LEITE FERM ACTIVIA LIQ 850G MORANGO
46621017000167,7896039010249,OSASCO,SP,GLICO ALIMENTOS LTDA,SALGADINHO EBICEN CEBOLA
16849231000104,7896051123873,BELO HORIZONTE,MG,ITAMBE ALIMENTOS S/A,IOGURTE PRO LIGHT TRAD COPO 120G
2176615000107,7898132980641,ALVINOPOLIS,MG,BIO-EXTRATUS COSMETIC NATURAL LTDA,BANHO DE CREME BIOEXTRATUS 250G MAIS LISO
46025722000100,7896022200664,SUMARE,SP,PASTIFICIO SELMI SA,MACARRÃO.SEMOLA GALO 500 GR
70940994000101,7891962050713,GUARULHOS,SP,PANDURATA ALIMENTOS LTDA,COOKIES BAUDUCCO CHOCOLATE 40G
8505736000123,7897664171459,SAO PAULO,SP,FLORA PRODUTOS DE HIGIENE E LIMPEZA S.A,CR PENTEAR NEUTROX 120ML MAR E PISCINA
62461140000114,7891203063427,SAO PAULO,SP,LUA NOVA IND E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,BEBEZINHO PANCO CHOC C/RECH BRIGAD C/2 70G
45997418000153,7894900013566,RIO DE JANEIRO,RJ,COCA COLA INDUSTRIAS LTDA,COCA-COLA GARRAFA PET
7526557000100,7891991000819,SAO PAULO,SP,AMBEV S.A.,SODA ANTARCTICA DIET||REFRIGERANTES | SODA LIMONADA DIET
33306929000798,7899026437326,SAO PAULO,SP,PROCOSA PRODUTOS DE BELEZA LTDA,TINTURA PERMANENTE IMÉDIA 2.0 PRETO CLÁSSICO UNIT
6042467000180,7896058254372,CAMPINAS,SP,BAGLEY DO BRASIL ALIMENTOS LTDA,BISCOITO GRÃOS DA TERRA AYMORÉ LINHAÇA
50221019000136,7896052605316,ITU,SP,HNK BR INDUSTRIA DE BEBIDAS LTDA.,NOVA SCHIN PILSEN LATA 1 UNIDADE
33122466000119,7894650013908,RIO DE JANEIRO,RJ,CERAS JOHNSON LTDA,LIMP. MR MUSCULO COZINHA SQUEEZE 20%DESC 500ML
8875424000101,7899389700860,FORQUILHINHA,SC,CERVEJARIA SANTA CATARINA LTDA,CORUJA OTUS
84869593000117,7896272005712,SAO JOSE DOS PINHAIS,PR,VALE FERTIL INDUSTRIAS ALIMENTICIAS LTDA,AZEITONA VERDE VALE FÉRTIL RECHEADA COM PRESUNTO IBÉRICO
61075099000185,7896237901080,SAO PAULO,SP,IRMAOS RAIOLA & CIA. LTDA,COGUMELO RAIOLA
23643315000152,7891025112976,SAO PAULO,SP,DANONE LTDA,DANETTE CHOCOLATE AO LEITE C/ PACOCA 200G
38930624000342,7898416780059,CAMPINAS,SP,CASSINI ALIMENTOS LTDA.,BISCOITO DE POLVILHO DOCE CASSINI
62162243000426,7896025801455,ITAQUAQUECETUBA,SP,IND E COM DE PROD ALIM CEPERA LTDA,GOIABADA CEPERA CASCAO PCT
31565104000177,7892840802707,SAO PAULO,SP,PEPSICO DO BRASIL LTDA,"PEPSI GARRAFA PET 2,5 L"
60934551000588,7898409957574,SAO PAULO,SP,AB BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,MOLHO PARA FRANGO XADREZ TRADICIONAL BLUE DRAGON 300G
62461140000114,7891203057518,SAO PAULO,SP,LUA NOVA IND E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,MACARRÃO INST PANCO GALINHA CAIPIRA
46842894000591,7898295300850,CANDIDO MOTA,SP,CASA DI CONTI LTDA,CERVEJA CONTI ZERO GRAU PILSEN - LATA
1773518000120,7898524348639,JANDIRA,SP,DEVINTEX COSMETICOS LTDA,ATIVADOR CACHOS SALON LINE 300ML COCO UNIT
19900000000176,7896045505371,JACAREI,SP,CERVEJARIAS KAISER BRASIL S.A.,CERVEJA LONG NECK PACK COM 6 UNIDADES 330ML HEINEKEN
6042467000180,7896058255331,CAMPINAS,SP,BAGLEY DO BRASIL ALIMENTOS LTDA,COOKIES DANIX ARCOR BAUNILHA
62546387000133,7896292330382,MATAO,SP,PREDILECTA ALIMENTOS LTDA,EXTRATO DE TOMATE LT PREDILECTA
23191831000193,7896012800874,GOIANIA,GO,"FALCON DISTRIBUICAO, ARMAZENAMENTO E TRANSPORTES S.A.",TALCO INFANTIL POMPOM 200G UNIT
62546387000133,7896292313781,MATAO,SP,PREDILECTA ALIMENTOS LTDA,EXT SOFRUTA 350G SACHET
72747256000178,7896908300099,SAO PAULO,SP,INDUSTRIA E COMERCIO DE CONSERVAS UBATUBA LTDA,FILE DE SARDINHA UBATUBA AZEITONA
59557124000115,7891035040542,SAO PAULO,SP,RECKITT BENCKISER ( BRASIL ) LTDA.,PRÉ LAVAGEM VANISH PODER 02 WHITE
6042467000180,7896058257281,CAMPINAS,SP,BAGLEY DO BRASIL ALIMENTOS LTDA,BISC DANIX SMURFS 130G CHOCOLATE
88624499000159,7897200100271,SAO MARCOS,RS,CATAFESTA-INDUSTRIA DE VINHOS LTDA,SUCO DE UVA TINTO INTEGRAL CATAFESTA
15579674000160,7898591452697,JUNDIAI,SP,FINI COMERCIALIZADORA LTDA.,BALA DE GEL FINI MENINAS SUPER PODEROSAS 90G
60409075000152,7891000101506,SAO PAULO,SP,NESTLE BRASIL LTDA.,LEITE EM PÓ DESNATADO MOLICO NESTLÉ 280G
60409075000152,7891000101506,SAO PAULO,SP,NESTLE BRASIL LTDA.,LEITE EM PÓ DESNATADO MOLICO NESTLÉ 280G
51723435000103,7896496981137,OSASCO,SP,MAETERRA PRODUTOS NATURAIS LTDA,COOKIES MAE TERRA 25G ORG/GRANOLA/MEL
51723435000103,7896496980888,OSASCO,SP,MAETERRA PRODUTOS NATURAIS LTDA,COOKIES MAE TERRA
2932074000191,7896094906020,SAO PAULO,SP,HYPERA S.A.,ADOÇANTE LÍQUIDO ADOCYL 80ML STEVIA UNIT
54516661003704,7891010014803,SAO JOSE DOS CAMPOS,SP,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS PARA SAUDE LTDA.,LOÇÃO DEO-HIDRATANTE JOHNSON'S BODY LOTION MACIEZ PROLONGADA
61193496000151,7891048043042,SAO PAULO,SP,DR. OETKER BRASIL LTDA.,ESSÊNCIA DE AMÊNDOA DR. OETKER 30ML
23643315000152,7891025201786,SAO PAULO,SP,DANONE LTDA,DANETTE DANONE CHOCOLATE AO LEITE
45997418000153,7894900610024,RIO DE JANEIRO,RJ,COCA COLA INDUSTRIAS LTDA,DV 100% LAR PET 300ML 6U CP
60409075000152,7891000106099,SAO PAULO,SP,NESTLE BRASIL LTDA.,NESLAC COMPOSTO LÁCTEO
60409075000152,7891000106099,SAO PAULO,SP,NESTLE BRASIL LTDA.,NESLAC COMPOSTO LÁCTEO
60409075000152,7891000120002,SAO PAULO,SP,NESTLE BRASIL LTDA.,BISC NESFIT 88G LARANJA E CENOURA
60409075000152,7891000120002,SAO PAULO,SP,NESTLE BRASIL LTDA.,BISC NESFIT 88G LARANJA E CENOURA
50221019000136,7896052601523,ITU,SP,HNK BR INDUSTRIA DE BEBIDAS LTDA.,SUCO SKINKA FRUTAS VERMELHAS
