cnpj,gtin,category
08540603000198,06890101502534,MASSAS E MOLHOS
71322150004408,07898605250417,CERVEJAS
43235985000732,07896000724465,CABELO
47508411134004,07896102589122,CONSERVAS E ENLATADOS
47508411135833,07895000474646,BOMBONIERE
09379531000101,05893202502558,MASSAS E MOLHOS
47508411135833,07891008188271,BOMBONIERE
39346861026802,07891025112983,IOGURTES E SOBREMESAS
47508411134004,07896262304368,BOMBONIERE
41185455001501,07896085393488,LEITE
75315333008002,07896036095089,MASSAS E MOLHOS
06057223023112,07898909755533,DOCES E SOBREMESAS
06057223023112,07896102503708,MASSAS E MOLHOS
75315333008002,07896038308057,ARROZ
06057223023112,07898027658112,DOCES E SOBREMESAS
00063960023575,07896005277195,MASSAS E MOLHOS
09379531000101,07891149106332,CERVEJAS
39346861026802,07897395020217,CERVEJAS
75315333009246,07896036091333,MASSAS E MOLHOS
75315333008002,07891132019274,TEMPEROS E CONDIMENTOS
47508411110687,07898530841476,BOMBONIERE
41185455001501,07898629570607,BOMBONIERE
03640467002219,04896165356337,MASSAS E MOLHOS
00063960006212,04898950710508,CERVEJAS
32860231000676,07891000252833,IOGURTES E SOBREMESAS
76430438007184,07898205924305,IOGURTES E SOBREMESAS
08540603000198,07898080640239,BEBIDAS LÁCTEAS
71322150004408,07896022200121,MASSAS E MOLHOS
47508411137100,07892840802745,REFRIGERANTES
03720882000905,07898928927102,APERITIVOS E SALGADINHOS
06057223023112,07899706152181,CABELO
47508411113945,00082184090442,DESTILADOS
47508411113945,07891152315097,MASSAS E MOLHOS
75315333009246,04253383514527,MASSAS E MOLHOS
39346861026802,06898149010103,CERVEJAS
39346861026802,07891150043381,CABELO
47508411152681,07893500090809,DOCES E SOBREMESAS
39346861029909,07898142862753,BOMBONIERE
08540603000198,07790070218216,"ÓLEOS, AZEITES E VINAGRES"
47508411113945,07898422745523,LIMPEZA ROUPAS
47508411152681,07891048014011,DOCES E SOBREMESAS
03720882000905,07891048050644,DOCES E SOBREMESAS
06057223023112,07891010247386,CABELO
76430438007184,07891025113720,IOGURTES E SOBREMESAS
17676214000185,07896085056840,"BOLOS, BISCOITOS E BOLACHAS"
00063960023575,07500435118514,CABELO
00063960023575,00000078936683,CERVEJAS
71322150001301,05601055007461,BOMBONIERE
71322150003266,07891149108466,CERVEJAS
47508411135833,00644051376969,BOMBONIERE
71322150003266,07896455004518,MASSAS E MOLHOS
06057223035552,07896049528604,DESODORANTES
